WEEK,BLOCKCHAIN,NEW_TOKENS,CUMU_NEW_TOKENS
2022-01-24 00:00:00.000,arbitrum,5,117
2022-01-24 00:00:00.000,ethereum,174,29220
2022-01-24 00:00:00.000,optimism,1,52
2022-01-24 00:00:00.000,polygon,41,430
2022-01-31 00:00:00.000,arbitrum,5,122
2022-01-31 00:00:00.000,ethereum,267,29487
2022-01-31 00:00:00.000,optimism,2,54
2022-01-31 00:00:00.000,polygon,45,475
2022-02-07 00:00:00.000,arbitrum,3,125
2022-02-07 00:00:00.000,ethereum,365,29852
2022-02-07 00:00:00.000,optimism,3,57
2022-02-07 00:00:00.000,polygon,40,515
2022-02-14 00:00:00.000,arbitrum,4,129
2022-02-14 00:00:00.000,ethereum,330,30182
2022-02-14 00:00:00.000,optimism,2,59
2022-02-14 00:00:00.000,polygon,43,558
2022-02-21 00:00:00.000,arbitrum,3,132
2022-02-21 00:00:00.000,ethereum,279,30461
2022-02-21 00:00:00.000,optimism,2,61
2022-02-21 00:00:00.000,polygon,46,604
2022-02-28 00:00:00.000,arbitrum,4,136
2022-02-28 00:00:00.000,ethereum,404,30865
2022-02-28 00:00:00.000,optimism,2,63
2022-02-28 00:00:00.000,polygon,35,639
2022-03-07 00:00:00.000,arbitrum,5,141
2022-03-07 00:00:00.000,ethereum,465,31330
2022-03-07 00:00:00.000,optimism,3,66
2022-03-07 00:00:00.000,polygon,37,676
2022-03-14 00:00:00.000,arbitrum,8,149
2022-03-14 00:00:00.000,ethereum,482,31812
2022-03-14 00:00:00.000,optimism,5,71
2022-03-14 00:00:00.000,polygon,45,721
2022-03-21 00:00:00.000,arbitrum,6,155
2022-03-21 00:00:00.000,ethereum,453,32265
2022-03-21 00:00:00.000,optimism,3,74
2022-03-21 00:00:00.000,polygon,17,738
2022-03-28 00:00:00.000,arbitrum,7,162
2022-03-28 00:00:00.000,ethereum,545,32810
2022-03-28 00:00:00.000,polygon,37,775
2022-04-04 00:00:00.000,arbitrum,2,164
2022-04-04 00:00:00.000,ethereum,567,33377
2022-04-04 00:00:00.000,optimism,1,75
2022-04-04 00:00:00.000,polygon,22,797
2022-04-11 00:00:00.000,arbitrum,2,166
2022-04-11 00:00:00.000,ethereum,604,33981
2022-04-11 00:00:00.000,optimism,1,76
2022-04-11 00:00:00.000,polygon,25,822
2022-04-18 00:00:00.000,ethereum,496,34477
2022-04-18 00:00:00.000,optimism,4,80
2022-04-18 00:00:00.000,polygon,36,858
2022-04-25 00:00:00.000,arbitrum,5,171
2022-04-25 00:00:00.000,ethereum,417,34894
2022-04-25 00:00:00.000,optimism,5,85
2022-04-25 00:00:00.000,polygon,45,903
2022-05-02 00:00:00.000,ethereum,351,35245
2022-05-02 00:00:00.000,optimism,1,86
2022-05-02 00:00:00.000,polygon,30,933
2022-05-09 00:00:00.000,ethereum,135,35380
2022-05-09 00:00:00.000,optimism,2,88
2022-05-09 00:00:00.000,polygon,26,959
2022-05-16 00:00:00.000,arbitrum,3,174
2022-05-16 00:00:00.000,ethereum,432,35812
2022-05-16 00:00:00.000,optimism,1,89
2022-05-16 00:00:00.000,polygon,34,993
2022-05-23 00:00:00.000,arbitrum,3,177
2022-05-23 00:00:00.000,ethereum,389,36201
2022-05-23 00:00:00.000,optimism,1,90
2022-05-23 00:00:00.000,polygon,36,1029
2022-05-30 00:00:00.000,arbitrum,3,180
2022-05-30 00:00:00.000,ethereum,282,36483
2022-05-30 00:00:00.000,optimism,13,103
2022-05-30 00:00:00.000,polygon,34,1063
2022-06-06 00:00:00.000,ethereum,279,36762
2022-06-06 00:00:00.000,optimism,1,104
2022-06-06 00:00:00.000,polygon,41,1104
2022-06-13 00:00:00.000,ethereum,262,37024
2022-06-13 00:00:00.000,optimism,1,105
2022-06-13 00:00:00.000,polygon,32,1136
2022-06-20 00:00:00.000,arbitrum,3,183
2022-06-20 00:00:00.000,ethereum,325,37349
2022-06-20 00:00:00.000,optimism,2,107
2022-06-20 00:00:00.000,polygon,37,1173
2022-06-27 00:00:00.000,arbitrum,2,185
2022-06-27 00:00:00.000,ethereum,386,37735
2022-06-27 00:00:00.000,optimism,1,108
2022-06-27 00:00:00.000,polygon,25,1198
2022-07-04 00:00:00.000,arbitrum,3,188
2022-07-04 00:00:00.000,ethereum,685,38420
2022-07-04 00:00:00.000,optimism,1,109
2022-07-04 00:00:00.000,polygon,31,1229
2022-07-11 00:00:00.000,arbitrum,5,193
2022-07-11 00:00:00.000,ethereum,618,39038
2022-07-11 00:00:00.000,optimism,3,112
2022-07-11 00:00:00.000,polygon,31,1260
2022-07-18 00:00:00.000,arbitrum,5,198
2022-07-18 00:00:00.000,ethereum,771,39809
2022-07-18 00:00:00.000,optimism,2,114
2022-07-18 00:00:00.000,polygon,31,1291
2022-07-25 00:00:00.000,arbitrum,4,202
2022-07-25 00:00:00.000,ethereum,769,40578
2022-07-25 00:00:00.000,optimism,4,118
2022-07-25 00:00:00.000,polygon,31,1322
2022-08-01 00:00:00.000,arbitrum,11,213
2022-08-01 00:00:00.000,ethereum,910,41488
2022-08-01 00:00:00.000,optimism,3,121
2022-08-01 00:00:00.000,polygon,23,1345
2022-08-08 00:00:00.000,arbitrum,9,222
2022-08-08 00:00:00.000,ethereum,869,42357
2022-08-08 00:00:00.000,optimism,7,128
2022-08-08 00:00:00.000,polygon,19,1364
2022-08-15 00:00:00.000,arbitrum,3,225
2022-08-15 00:00:00.000,ethereum,668,43025
2022-08-15 00:00:00.000,optimism,5,133
2022-08-15 00:00:00.000,polygon,25,1389
2022-08-22 00:00:00.000,arbitrum,6,231
2022-08-22 00:00:00.000,ethereum,833,43858
2022-08-22 00:00:00.000,optimism,3,136
2022-08-22 00:00:00.000,polygon,23,1412
2022-08-29 00:00:00.000,arbitrum,7,238
2022-08-29 00:00:00.000,ethereum,731,44589
2022-08-29 00:00:00.000,optimism,2,138
2022-08-29 00:00:00.000,polygon,24,1436
2022-09-05 00:00:00.000,arbitrum,3,241
2022-09-05 00:00:00.000,ethereum,850,45439
2022-09-05 00:00:00.000,polygon,20,1456
2022-09-12 00:00:00.000,arbitrum,6,247
2022-09-12 00:00:00.000,ethereum,660,46099
2022-09-12 00:00:00.000,optimism,4,142
2022-09-12 00:00:00.000,polygon,27,1483
2022-09-19 00:00:00.000,arbitrum,8,255
2022-09-19 00:00:00.000,ethereum,858,46957
2022-09-19 00:00:00.000,polygon,22,1505
2022-09-26 00:00:00.000,arbitrum,6,261
2022-09-26 00:00:00.000,ethereum,1091,48048
2022-09-26 00:00:00.000,optimism,6,148
2022-09-26 00:00:00.000,polygon,26,1531
2022-10-03 00:00:00.000,arbitrum,6,267
2022-10-03 00:00:00.000,ethereum,1079,49127
2022-10-03 00:00:00.000,optimism,3,151
2022-10-03 00:00:00.000,polygon,19,1550
2022-10-10 00:00:00.000,arbitrum,9,276
2022-10-10 00:00:00.000,ethereum,958,50085
2022-10-10 00:00:00.000,optimism,3,154
2022-10-10 00:00:00.000,polygon,17,1567
2022-10-17 00:00:00.000,arbitrum,3,279
2022-10-17 00:00:00.000,ethereum,1386,51471
2022-10-17 00:00:00.000,optimism,3,157
2022-10-17 00:00:00.000,polygon,17,1584
2022-10-24 00:00:00.000,arbitrum,19,298
2022-10-24 00:00:00.000,ethereum,1417,52888
2022-10-24 00:00:00.000,optimism,6,163
2022-10-24 00:00:00.000,polygon,26,1610
2022-10-31 00:00:00.000,arbitrum,22,320
2022-10-31 00:00:00.000,ethereum,974,53862
2022-10-31 00:00:00.000,optimism,2,165
2022-10-31 00:00:00.000,polygon,49,1659
2022-11-07 00:00:00.000,arbitrum,11,331
2022-11-07 00:00:00.000,ethereum,551,54413
2022-11-07 00:00:00.000,optimism,2,167
2022-11-07 00:00:00.000,polygon,22,1681
2022-11-14 00:00:00.000,arbitrum,9,340
2022-11-14 00:00:00.000,ethereum,619,55032
2022-11-14 00:00:00.000,optimism,4,171
2022-11-14 00:00:00.000,polygon,25,1706
2022-11-21 00:00:00.000,arbitrum,7,347
2022-11-21 00:00:00.000,ethereum,574,55606
2022-11-21 00:00:00.000,optimism,1,172
2022-11-21 00:00:00.000,polygon,38,1744
2022-11-28 00:00:00.000,arbitrum,8,355
2022-11-28 00:00:00.000,ethereum,727,56333
2022-11-28 00:00:00.000,polygon,37,1781
2022-12-05 00:00:00.000,arbitrum,11,366
2022-12-05 00:00:00.000,ethereum,798,57131
2022-12-05 00:00:00.000,optimism,2,174
2022-12-05 00:00:00.000,polygon,41,1822
2022-12-12 00:00:00.000,arbitrum,5,371
2022-12-12 00:00:00.000,ethereum,725,57856
2022-12-12 00:00:00.000,optimism,2,176
2022-12-12 00:00:00.000,polygon,23,1845
2022-12-19 00:00:00.000,arbitrum,6,377
2022-12-19 00:00:00.000,ethereum,689,58545
2022-12-19 00:00:00.000,optimism,1,177
2022-12-19 00:00:00.000,polygon,25,1870
