DATE,UNIQUE_TOKEN_COUNT,AVG_TX_FEE_USD,AVG_ETH_PRICE
2020-08-11 00:00:00.000,573,8.683558063,388.618762425
2020-08-12 00:00:00.000,510,16.816064608,381.02516627
2020-08-13 00:00:00.000,521,19.452816135,392.635137976
2020-08-14 00:00:00.000,544,16.479451381,429.899423606
2020-08-15 00:00:00.000,596,9.653386761,435.625742559
2020-08-16 00:00:00.000,612,8.088595607,427.838471428
2020-08-17 00:00:00.000,605,9.165794658,431.67540551
2020-08-18 00:00:00.000,619,10.418650431,428.104158312
2020-08-19 00:00:00.000,625,10.38408018,412.31913082
2020-08-20 00:00:00.000,657,9.354453518,411.040786077
2020-08-21 00:00:00.000,621,11.924501494,406.702295282
2020-08-22 00:00:00.000,687,8.106011989,389.388108244
2020-08-23 00:00:00.000,710,6.814219445,390.642396679
2020-08-24 00:00:00.000,733,7.622125234,400.236868301
2020-08-25 00:00:00.000,720,8.039606395,392.48591871
2020-08-26 00:00:00.000,733,7.124544286,384.525541839
2020-08-27 00:00:00.000,754,7.082722544,383.481984698
2020-08-28 00:00:00.000,739,7.621435058,391.098407225
2020-08-29 00:00:00.000,724,7.879120652,399.549444811
2020-08-30 00:00:00.000,729,15.308352776,410.951701146
2020-08-31 00:00:00.000,740,17.633600027,429.802482462
2020-09-01 00:00:00.000,702,34.237065317,440.381817272
2020-09-02 00:00:00.000,715,36.205563783,454.732330406
2020-09-03 00:00:00.000,805,28.663230773,423.558855125
2020-09-04 00:00:00.000,870,16.407835356,389.234463525
2020-09-05 00:00:00.000,835,19.377379936,362.467902693
2020-09-06 00:00:00.000,901,8.743179538,342.495439009
2020-09-07 00:00:00.000,896,7.635062513,344.659007024
2020-09-08 00:00:00.000,927,7.079848784,342.462309031
2020-09-09 00:00:00.000,933,7.967858358,345.676044229
2020-09-10 00:00:00.000,873,12.101780602,366.522784668
2020-09-11 00:00:00.000,919,10.039173576,366.32283513
2020-09-12 00:00:00.000,973,7.775313605,373.307644568
2020-09-13 00:00:00.000,980,8.63051421,373.780634091
2020-09-14 00:00:00.000,938,13.478987463,370.869898569
2020-09-15 00:00:00.000,966,12.517050719,371.840226546
2020-09-16 00:00:00.000,1022,10.457610835,364.344142417
2020-09-17 00:00:00.000,842,29.973816776,380.317604239
2020-09-18 00:00:00.000,1025,19.965386102,384.388795167
2020-09-19 00:00:00.000,1140,11.929228888,383.374223168
2020-09-20 00:00:00.000,1162,8.631020789,376.618552141
2020-09-21 00:00:00.000,1158,10.929813516,357.004263382
2020-09-22 00:00:00.000,1195,9.837833657,342.700966086
2020-09-23 00:00:00.000,1242,8.156917653,337.922734147
2020-09-24 00:00:00.000,1290,6.89861892,334.909333997
2020-09-25 00:00:00.000,1309,6.464821225,347.134254363
2020-09-26 00:00:00.000,1352,5.526114131,352.260174437
2020-09-27 00:00:00.000,1383,5.844659258,354.587842746
2020-09-28 00:00:00.000,1352,7.519903989,360.888219295
2020-09-29 00:00:00.000,1332,9.147432237,355.51465294
2020-09-30 00:00:00.000,1376,7.037519161,356.559051708
2020-10-01 00:00:00.000,1399,6.728356693,359.912453653
2020-10-02 00:00:00.000,1431,5.931281277,344.97719119
2020-10-03 00:00:00.000,1496,4.834160294,347.414667252
2020-10-04 00:00:00.000,1432,5.129719343,348.273536387
2020-10-05 00:00:00.000,1459,5.213409146,352.269968239
2020-10-06 00:00:00.000,1492,7.095393606,348.956183927
2020-10-07 00:00:00.000,1518,5.351131078,340.095324315
2020-10-08 00:00:00.000,1485,5.358979763,343.874332341
2020-10-09 00:00:00.000,1531,5.339766234,356.546365035
2020-10-10 00:00:00.000,1549,4.605227329,373.009096566
2020-10-11 00:00:00.000,1655,4.24347466,373.296901085
2020-10-12 00:00:00.000,1620,5.702021697,379.161670258
2020-10-13 00:00:00.000,1620,5.883343545,382.32585061
2020-10-14 00:00:00.000,1608,7.157255382,380.189863737
2020-10-15 00:00:00.000,1625,6.129458335,376.716520636
2020-10-16 00:00:00.000,1656,4.889368714,370.315970146
2020-10-17 00:00:00.000,1698,2.504151735,367.387556772
2020-10-18 00:00:00.000,1695,2.689507633,372.82070407
2020-10-19 00:00:00.000,1746,3.823969483,376.381318171
2020-10-20 00:00:00.000,1749,4.232189649,374.023645868
2020-10-21 00:00:00.000,1712,5.488404791,383.863628677
2020-10-22 00:00:00.000,1777,4.844560744,406.742629082
2020-10-23 00:00:00.000,1776,5.225714242,412.510832599
2020-10-24 00:00:00.000,1899,2.496420769,412.292786882
2020-10-25 00:00:00.000,1880,2.943612389,409.496620578
2020-10-26 00:00:00.000,1847,4.939423687,401.738942808
2020-10-27 00:00:00.000,1857,3.190117351,399.286972916
2020-10-28 00:00:00.000,1769,4.878968421,393.23486805
2020-10-29 00:00:00.000,1805,5.015783866,388.770585092
2020-10-30 00:00:00.000,1823,4.552138806,381.95295889
2020-10-31 00:00:00.000,1844,3.331807907,386.391102223
2020-11-01 00:00:00.000,1921,2.513878809,388.372096919
2020-11-02 00:00:00.000,1765,4.165805633,390.513404862
2020-11-03 00:00:00.000,1865,3.150945975,380.488159264
2020-11-04 00:00:00.000,1848,2.928896273,388.671846309
2020-11-05 00:00:00.000,1879,3.998979468,407.041181818
2020-11-06 00:00:00.000,1864,4.968698914,435.804601571
2020-11-07 00:00:00.000,1806,5.235750335,454.161525346
2020-11-08 00:00:00.000,1881,2.616385347,445.999711078
2020-11-09 00:00:00.000,1783,3.584290233,449.441072204
2020-11-10 00:00:00.000,1804,4.105994652,446.518456602
2020-11-11 00:00:00.000,1761,4.867798102,462.426073828
2020-11-12 00:00:00.000,1773,5.170565712,460.554076698
2020-11-13 00:00:00.000,1773,4.684616807,466.495671062
2020-11-14 00:00:00.000,1861,3.204518532,463.406810425
2020-11-15 00:00:00.000,1866,3.070704743,455.344444983
2020-11-16 00:00:00.000,1802,4.070275099,455.670158867
2020-11-17 00:00:00.000,1739,6.825601336,470.048926338
2020-11-18 00:00:00.000,1730,7.318027359,478.330571101
2020-11-19 00:00:00.000,1813,4.465783308,474.67810324
2020-11-20 00:00:00.000,1745,5.96127862,496.595559746
2020-11-21 00:00:00.000,1750,6.50666895,522.298613664
2020-11-22 00:00:00.000,1798,6.407290548,546.311661639
2020-11-23 00:00:00.000,1806,7.692907533,585.915542569
2020-11-24 00:00:00.000,1737,9.926925951,608.267925297
2020-11-25 00:00:00.000,1783,6.593092777,593.189129447
2020-11-26 00:00:00.000,1592,14.49447135,521.693803342
2020-11-27 00:00:00.000,1798,3.906976364,513.879645426
2020-11-28 00:00:00.000,1847,3.177349875,525.299380523
2020-11-29 00:00:00.000,1924,2.747304791,549.239661124
2020-11-30 00:00:00.000,1695,7.922903841,592.282978871
2020-12-01 00:00:00.000,1653,9.26851942,603.45124237
2020-12-02 00:00:00.000,1824,5.232746616,593.228488512
