BLOCKCHAIN,TOKEN,UNIQUE_TRADERS
arbitrum,WETH,2308434
arbitrum,USDC,1740005
arbitrum,USDT,1140904
arbitrum,GETH,1104779
arbitrum,ARB,469008
arbitrum,WBTC,361072
arbitrum,DAI,315077
arbitrum,STG,306727
arbitrum,GMX,279751
arbitrum,LPT,230312
avalanche,USDC,187455
avalanche,WAVAX,154841
avalanche,USDt,67252
avalanche,WETH.e,31642
avalanche,BTC.b,15682
avalanche,COQ,14343
avalanche,USDC.e,7177
avalanche,USDT.e,6156
avalanche,MQT,5848
avalanche,WETH,5261
base,WETH,3991539
base,PEPE,1189627
base,USDC,1138167
base,CAT,991854
base,TAD,851859
base,CHUMP,816378
base,BRO,683217
base,BRETARDIO,653586
base,USDbC,613145
base,CHEERS,606599
bsc,WBNB,1610325
bsc,USDT,1311025
bsc,USDC,496170
bsc,ETH,388022
bsc,BUSD,272557
bsc,BTCB,143110
bsc,STG,64862
bsc,SOL,61506
bsc,MATIC,39742
bsc,TONCOIN,33872
ethereum,WETH,6447397
ethereum,USDC,1878596
ethereum,USDT,1846159
ethereum,SHIB,640823
ethereum,DAI,544031
ethereum,WBTC,398587
ethereum,PEPE,362298
ethereum,SAITAMA,291279
ethereum,HEX,256866
ethereum,MATIC,231985
optimism,WETH,1282241
optimism,USDC,1261742
optimism,DAI,675582
optimism,USDT,619191
optimism,OP,479640
optimism,GETH,372088
optimism,vUSD,348434
optimism,sUSD,261479
optimism,vETH,202981
optimism,WBTC,178251
polygon,WMATIC,2242371
polygon,USDC,2129522
polygon,USDT,1455030
polygon,WETH,1172796
polygon,DAI,496164
polygon,WBTC,384077
polygon,agEUR,205369
polygon,STG,190808
polygon,LINK,149678
polygon,AAVE,116094
