WEEK,BLOCKCHAIN,UNIQUE_TOKEN_COUNT
2022-02-07 00:00:00.000,optimism,42
2022-02-07 00:00:00.000,polygon,281
2022-02-14 00:00:00.000,arbitrum,61
2022-02-14 00:00:00.000,ethereum,3916
2022-02-14 00:00:00.000,optimism,41
2022-02-14 00:00:00.000,polygon,291
2022-02-21 00:00:00.000,arbitrum,60
2022-02-21 00:00:00.000,ethereum,3973
2022-02-21 00:00:00.000,optimism,41
2022-02-21 00:00:00.000,polygon,290
2022-02-28 00:00:00.000,arbitrum,63
2022-02-28 00:00:00.000,ethereum,4222
2022-02-28 00:00:00.000,optimism,44
2022-02-28 00:00:00.000,polygon,286
2022-03-07 00:00:00.000,arbitrum,60
2022-03-07 00:00:00.000,ethereum,4771
2022-03-07 00:00:00.000,optimism,45
2022-03-07 00:00:00.000,polygon,293
2022-03-14 00:00:00.000,arbitrum,69
2022-03-14 00:00:00.000,ethereum,4605
2022-03-14 00:00:00.000,optimism,50
2022-03-14 00:00:00.000,polygon,337
2022-03-21 00:00:00.000,arbitrum,78
2022-03-21 00:00:00.000,ethereum,4569
2022-03-21 00:00:00.000,optimism,52
2022-03-21 00:00:00.000,polygon,315
2022-03-28 00:00:00.000,arbitrum,81
2022-03-28 00:00:00.000,ethereum,4393
2022-03-28 00:00:00.000,optimism,51
2022-03-28 00:00:00.000,polygon,329
2022-04-04 00:00:00.000,arbitrum,72
2022-04-04 00:00:00.000,ethereum,4548
2022-04-04 00:00:00.000,optimism,48
2022-04-04 00:00:00.000,polygon,330
2022-04-11 00:00:00.000,arbitrum,72
2022-04-11 00:00:00.000,ethereum,4589
2022-04-11 00:00:00.000,optimism,53
2022-04-11 00:00:00.000,polygon,329
2022-04-18 00:00:00.000,arbitrum,76
2022-04-18 00:00:00.000,ethereum,4481
2022-04-18 00:00:00.000,optimism,59
2022-04-18 00:00:00.000,polygon,322
2022-04-25 00:00:00.000,arbitrum,86
2022-04-25 00:00:00.000,ethereum,4159
2022-04-25 00:00:00.000,optimism,63
2022-04-25 00:00:00.000,polygon,381
2022-05-02 00:00:00.000,arbitrum,73
2022-05-02 00:00:00.000,ethereum,4070
2022-05-02 00:00:00.000,optimism,58
2022-05-02 00:00:00.000,polygon,371
2022-05-09 00:00:00.000,arbitrum,80
2022-05-09 00:00:00.000,ethereum,3903
2022-05-09 00:00:00.000,optimism,60
2022-05-09 00:00:00.000,polygon,383
2022-05-16 00:00:00.000,arbitrum,77
2022-05-16 00:00:00.000,ethereum,4471
2022-05-16 00:00:00.000,optimism,57
2022-05-16 00:00:00.000,polygon,373
2022-05-23 00:00:00.000,arbitrum,81
2022-05-23 00:00:00.000,ethereum,4264
2022-05-23 00:00:00.000,optimism,59
2022-05-23 00:00:00.000,polygon,389
2022-05-30 00:00:00.000,arbitrum,83
2022-05-30 00:00:00.000,ethereum,3645
2022-05-30 00:00:00.000,optimism,70
2022-05-30 00:00:00.000,polygon,384
2022-06-06 00:00:00.000,arbitrum,86
2022-06-06 00:00:00.000,ethereum,3726
2022-06-06 00:00:00.000,optimism,61
2022-06-06 00:00:00.000,polygon,385
2022-06-13 00:00:00.000,arbitrum,77
2022-06-13 00:00:00.000,ethereum,4028
2022-06-13 00:00:00.000,optimism,61
2022-06-13 00:00:00.000,polygon,406
2022-06-20 00:00:00.000,arbitrum,80
2022-06-20 00:00:00.000,ethereum,3981
2022-06-20 00:00:00.000,optimism,65
2022-06-20 00:00:00.000,polygon,402
2022-06-27 00:00:00.000,arbitrum,74
2022-06-27 00:00:00.000,ethereum,4282
2022-06-27 00:00:00.000,optimism,58
2022-06-27 00:00:00.000,polygon,393
2022-07-04 00:00:00.000,arbitrum,84
2022-07-04 00:00:00.000,ethereum,4754
2022-07-04 00:00:00.000,optimism,58
