BLOCKCHAIN,TOKEN,NUMBER_OF_SWAPS
arbitrum,WETH,29786073
arbitrum,USDC,22415892
arbitrum,USDT,8266597
arbitrum,ARB,7771776
arbitrum,WBTC,3371630
arbitrum,GETH,1821535
arbitrum,GMX,1127105
arbitrum,PENDLE,1100567
arbitrum,DAI,1012459
arbitrum,LINK,699704
avalanche,WAVAX,1150906
avalanche,USDC,953288
avalanche,WETH.e,205418
avalanche,USDt,204764
avalanche,BTC.b,51901
avalanche,COQ,50306
avalanche,USDC.e,19806
avalanche,WBTC.e,18702
avalanche,KIMBO,16549
avalanche,MQT,15097
base,WETH,41895432
base,USDC,6352565
base,USDbC,2541256
base,TAD,1802965
base,PEPE,1519714
base,BSHIB,1332248
base,TRUMP,1108936
base,CAT,1036058
base,BRETT,971396
base,CHUMP,934382
bsc,WBNB,7844608
bsc,USDT,6449376
bsc,ETH,1803442
bsc,USDC,1446905
bsc,BUSD,1352417
bsc,BTCB,750873
bsc,SOL,133384
bsc,uSPE,115502
bsc,TWoN,114545
bsc,FET,103914
ethereum,WETH,96298911
ethereum,USDC,12187159
ethereum,USDT,9336680
ethereum,DAI,2518419
ethereum,WBTC,1638706
ethereum,SHIB,1537968
ethereum,HEX,1334364
ethereum,PEPE,1224184
ethereum,SAITAMA,871867
ethereum,UNI,550617
optimism,USDC,12302670
optimism,WETH,11561935
optimism,vUSD,6816017
optimism,OP,3622495
optimism,USDT,2483067
optimism,DAI,2314889
optimism,WLD,1940596
optimism,WBTC,1217827
optimism,vETH,980360
optimism,sUSD,723824
polygon,WMATIC,26603443
polygon,USDC,26348674
polygon,WETH,15086173
polygon,USDT,12485639
polygon,WBTC,4539117
polygon,LINK,2175050
polygon,DAI,2121967
polygon,AAVE,737224
polygon,RNDR,684694
polygon,LDO,589180
