WEEK,UNIQUE_TOKEN_COUNT
2021-07-05 00:00:00.000,4718
2021-07-12 00:00:00.000,4162
2021-07-19 00:00:00.000,4307
2021-07-26 00:00:00.000,4038
2021-08-02 00:00:00.000,3914
2021-08-09 00:00:00.000,3829
2021-08-16 00:00:00.000,3988
2021-08-23 00:00:00.000,3464
2021-08-30 00:00:00.000,3242
2021-09-06 00:00:00.000,3439
2021-09-13 00:00:00.000,3598
2021-09-20 00:00:00.000,3553
2021-09-27 00:00:00.000,3424
2021-10-04 00:00:00.000,3381
2021-10-11 00:00:00.000,3486
2021-10-18 00:00:00.000,3921
2021-10-25 00:00:00.000,3762
2021-11-01 00:00:00.000,4046
2021-11-08 00:00:00.000,4235
2021-11-15 00:00:00.000,4154
2021-11-22 00:00:00.000,4028
2021-11-29 00:00:00.000,3918
2021-12-06 00:00:00.000,4337
2021-12-13 00:00:00.000,4175
2021-12-20 00:00:00.000,4263
2021-12-27 00:00:00.000,4325
2022-01-03 00:00:00.000,3501
2022-01-10 00:00:00.000,3301
2022-01-17 00:00:00.000,3550
2022-01-24 00:00:00.000,3506
2022-01-31 00:00:00.000,3833
2022-02-07 00:00:00.000,4115
2022-02-14 00:00:00.000,4116
2022-02-21 00:00:00.000,4170
2022-02-28 00:00:00.000,4426
2022-03-07 00:00:00.000,4964
2022-03-14 00:00:00.000,4841
2022-03-21 00:00:00.000,4793
2022-03-28 00:00:00.000,4629
2022-04-04 00:00:00.000,4779
2022-04-11 00:00:00.000,4818
2022-04-18 00:00:00.000,4720
2022-04-25 00:00:00.000,4437
2022-05-02 00:00:00.000,4332
2022-05-09 00:00:00.000,4175
2022-05-16 00:00:00.000,4750
2022-05-23 00:00:00.000,4553
2022-05-30 00:00:00.000,3942
2022-06-06 00:00:00.000,4003
2022-06-13 00:00:00.000,4316
2022-06-20 00:00:00.000,4277
2022-06-27 00:00:00.000,4555
2022-07-04 00:00:00.000,5036
2022-07-11 00:00:00.000,4958
2022-07-18 00:00:00.000,5715
2022-07-25 00:00:00.000,5728
2022-08-01 00:00:00.000,5846
2022-08-08 00:00:00.000,5696
2022-08-15 00:00:00.000,5597
2022-08-22 00:00:00.000,5574
2022-08-29 00:00:00.000,5323
2022-09-05 00:00:00.000,5689
2022-09-12 00:00:00.000,5627
2022-09-19 00:00:00.000,5853
2022-09-26 00:00:00.000,6053
2022-10-03 00:00:00.000,6088
2022-10-10 00:00:00.000,5731
2022-10-17 00:00:00.000,6458
2022-10-24 00:00:00.000,7010
2022-10-31 00:00:00.000,6343
2022-11-07 00:00:00.000,5444
2022-11-14 00:00:00.000,5844
2022-11-21 00:00:00.000,5928
2022-11-28 00:00:00.000,5953
2022-12-05 00:00:00.000,5856
2022-12-12 00:00:00.000,5850
2022-12-19 00:00:00.000,5877
2022-12-26 00:00:00.000,6464
2023-01-02 00:00:00.000,6249
2023-01-09 00:00:00.000,6180
2023-01-16 00:00:00.000,6075
2023-01-23 00:00:00.000,6047
2023-01-30 00:00:00.000,6105
2023-02-06 00:00:00.000,5920
2023-02-13 00:00:00.000,5707
2023-02-20 00:00:00.000,5400
2023-02-27 00:00:00.000,5684
2023-03-06 00:00:00.000,5576
2023-03-13 00:00:00.000,6346
2023-03-20 00:00:00.000,6421
2023-03-27 00:00:00.000,6163
2023-04-03 00:00:00.000,6012
2023-04-10 00:00:00.000,6177
2023-04-17 00:00:00.000,6693
2023-04-24 00:00:00.000,7356
2023-05-01 00:00:00.000,6959
2023-05-08 00:00:00.000,8252
2023-05-15 00:00:00.000,8972
2023-05-22 00:00:00.000,8935
2023-05-29 00:00:00.000,8979
2023-06-05 00:00:00.000,8816
2023-06-12 00:00:00.000,8419
2023-06-19 00:00:00.000,8715
2023-06-26 00:00:00.000,8897
2023-07-03 00:00:00.000,8790
2023-07-10 00:00:00.000,9333
2023-07-17 00:00:00.000,8904
2023-07-24 00:00:00.000,8849
2023-07-31 00:00:00.000,9185
2023-08-07 00:00:00.000,9007
2023-08-14 00:00:00.000,8918
2023-08-21 00:00:00.000,8663
2023-08-28 00:00:00.000,8669
2023-09-04 00:00:00.000,8997
2023-09-11 00:00:00.000,9015
2023-09-18 00:00:00.000,9325
2023-09-25 00:00:00.000,9192
2023-10-02 00:00:00.000,9859
2023-10-09 00:00:00.000,9191
2023-10-16 00:00:00.000,8809
2023-10-23 00:00:00.000,8247
2023-10-30 00:00:00.000,8063
2023-11-06 00:00:00.000,7700
2023-11-13 00:00:00.000,8071
2023-11-20 00:00:00.000,7792
2023-11-27 00:00:00.000,7996
2023-12-04 00:00:00.000,8025
2023-12-11 00:00:00.000,7367
2023-12-18 00:00:00.000,7634
2023-12-25 00:00:00.000,8723
2024-01-01 00:00:00.000,8309
2024-01-08 00:00:00.000,7776
2024-01-15 00:00:00.000,8059
2024-01-22 00:00:00.000,8291
2024-01-29 00:00:00.000,7833
2024-02-05 00:00:00.000,7783
2024-02-12 00:00:00.000,8424
2024-02-19 00:00:00.000,8032
2024-02-26 00:00:00.000,7651
2024-03-04 00:00:00.000,8344
2024-03-11 00:00:00.000,9353
2024-03-18 00:00:00.000,11484
2024-03-25 00:00:00.000,13182
2024-04-01 00:00:00.000,14957
2024-04-08 00:00:00.000,15363
2024-04-15 00:00:00.000,16011
2024-04-22 00:00:00.000,16372
2024-04-29 00:00:00.000,16344
2024-05-06 00:00:00.000,16487
2024-05-13 00:00:00.000,15249
2024-05-20 00:00:00.000,15101
2024-05-27 00:00:00.000,15345
2024-06-03 00:00:00.000,16633
2024-06-10 00:00:00.000,16943
2024-06-17 00:00:00.000,17068
2024-06-24 00:00:00.000,17076
2024-07-01 00:00:00.000,16900
2024-07-08 00:00:00.000,17061
2024-07-15 00:00:00.000,15477
2024-07-22 00:00:00.000,16423
2024-07-29 00:00:00.000,43735
2024-08-05 00:00:00.000,19252
2024-08-12 00:00:00.000,14629
2024-08-19 00:00:00.000,14661
2024-08-26 00:00:00.000,14532
2024-09-02 00:00:00.000,13147
2024-09-09 00:00:00.000,13507
